seccion_id,votante,cantidad,tipo,concepto,cantidad_str
102,No Votantes,128.0,5,VotoBlando,128
103,No Votantes,87.0,5,VotoBlando,87
104,No Votantes,22.0,5,VotoBlando,22
105,No Votantes,1047.0,5,VotoBlando,"1,047"
106,No Votantes,1234.0,5,VotoBlando,"1,234"
107,No Votantes,1274.0,5,VotoBlando,"1,274"
108,No Votantes,248.0,5,VotoBlando,248
109,No Votantes,148.0,5,VotoBlando,148
110,No Votantes,18.0,5,VotoBlando,18
111,No Votantes,671.0,5,VotoBlando,671
112,No Votantes,28.0,5,VotoBlando,28
113,No Votantes,1832.0,5,VotoBlando,"1,832"
114,No Votantes,50.0,5,VotoBlando,50
115,No Votantes,171.0,5,VotoBlando,171
116,No Votantes,2.0,5,VotoBlando,2
117,No Votantes,386.0,5,VotoBlando,386
118,No Votantes,1806.0,5,VotoBlando,"1,806"
119,No Votantes,425.0,5,VotoBlando,425
120,No Votantes,33.0,5,VotoBlando,33
121,No Votantes,266.0,5,VotoBlando,266
122,No Votantes,906.0,5,VotoBlando,906
123,No Votantes,122.0,5,VotoBlando,122
124,No Votantes,165.0,5,VotoBlando,165
125,No Votantes,1026.0,5,VotoBlando,"1,026"
126,No Votantes,7.0,5,VotoBlando,7
127,No Votantes,14.0,5,VotoBlando,14
128,No Votantes,285.0,5,VotoBlando,285
129,No Votantes,1057.0,5,VotoBlando,"1,057"
130,No Votantes,2087.0,5,VotoBlando,"2,087"
131,No Votantes,8.0,5,VotoBlando,8
132,No Votantes,337.0,5,VotoBlando,337
133,No Votantes,838.0,5,VotoBlando,838
134,No Votantes,997.0,5,VotoBlando,997
135,No Votantes,23.0,5,VotoBlando,23
1,No Votantes,18.0,6,VotoBlando,18
2,No Votantes,24.0,6,VotoBlando,24
3,No Votantes,541.0,6,VotoBlando,541
4,No Votantes,463.0,6,VotoBlando,463
5,No Votantes,36.0,6,VotoBlando,36
6,No Votantes,179.0,6,VotoBlando,179
7,No Votantes,417.0,6,VotoBlando,417
8,No Votantes,60.0,6,VotoBlando,60
9,No Votantes,70.0,6,VotoBlando,70
10,No Votantes,29.0,6,VotoBlando,29
11,No Votantes,332.0,6,VotoBlando,332
12,No Votantes,106.0,6,VotoBlando,106
13,No Votantes,41.0,6,VotoBlando,41
14,No Votantes,32.0,6,VotoBlando,32
15,No Votantes,20.0,6,VotoBlando,20
16,No Votantes,36.0,6,VotoBlando,36
17,No Votantes,29.0,6,VotoBlando,29
18,No Votantes,21.0,6,VotoBlando,21
19,No Votantes,35.0,6,VotoBlando,35
20,No Votantes,10.0,6,VotoBlando,10
21,No Votantes,46.0,6,VotoBlando,46
22,No Votantes,110.0,6,VotoBlando,110
23,No Votantes,1.0,6,VotoBlando,1
24,No Votantes,31.0,6,VotoBlando,31
25,No Votantes,10.0,6,VotoBlando,10
26,No Votantes,68.0,6,VotoBlando,68
27,No Votantes,74.0,6,VotoBlando,74
28,No Votantes,43.0,6,VotoBlando,43
29,No Votantes,119.0,6,VotoBlando,119
30,No Votantes,43.0,6,VotoBlando,43
31,No Votantes,135.0,6,VotoBlando,135
